stemming_content,label
please banget tekan sembunyi lencana bio,negatif
nge log out masuk password salah mulu kacau parah aplikasi,negatif
ada fitur pin pls biar cerita tulis tenggelem,negatif
haris sabar upload,positif
lencana hilang bio pencet sembunyi mohon dbantu muncul,negatif
tolong kasih translate ahli bahasa terima kasih,positif
lencana sembunyi muncul,negatif
pencet sembunyi nomor threads muncul profil muncul profil,negatif
ngeri login thread akun kunci instagramnya langgar fatal,negatif
salah opsi posting balas komentar aplikasi langsung moga,negatif
beranda isi orang follow,negatif
susah pakai hilang bye,negatif
timeline penuh orang difollow ganggu,negatif
postingan threads feed instagram pilih story direct message,negatif
force close anytime even click the logo create,negatif
please don pakai threads have short videos just like the name read and nowdays society the interest reading decreasing this platform suit for increasing read,negatif
data banget hapus app,negatif
sampah centang biru beranda buka circle followers instagram sampa threads beranda,negatif
aplikasi pakai launching,negatif
lencana bio disembunyiin tampil,negatif
ngebug pas masuk log out,netral
tolong adakan hapus akun threadsnya hapus akun instagram huhu sedih banget akun instagram hapus banget kenanga,negatif
hapus akunny woyy salah login pakai akun utama kasih fitur hapus akun kayak,negatif
feed beranda isi spam banget bilang spam isi postingan akun follow sengaja follow akun biar muncul beranda muncul fitur explore munculin trending spam beranda,negatif
phone bikin threads woyy mark zuckerberg kimak,netral
komen bikin ulas apk mulu capekk,positif
habis uninstall reinstall kadi berbauar gratis,positif
gara download threads kemarin instgaram gue login ganti pasword pakai email whatsap pakai dukung gagal tolong instagram login acount instagram,negatif
postingan tekan postingan langsung aplikasi iphone plus ios,negatif
tolong fitur mengmbalikan lencana tampil profil instagram terimakasih,positif
instal coba nge threads pas besok coba nge threads aplikasi balas threads orang uninstall restart matiin please bantu ya gaes,negatif
bikin status komentar mulu ya,positif
anjing gara apk akun hilang tahi,negatif
hastag trending negara biar joss,negatif
tolong thread pilih off link thread bio instagram hapus muncul,negatif
klik posting nutup aplikasi bintang deh,negatif
tolong bikin versi ipad kak,positif
login muncul tulis halaman temu inti pemberitahuan baik orang edit temu download instagram milik akun apk instagram,netral
ngehapus profile instagramnya cui,netral
you have pakai option show threads instagram bio hide,positif
kayak ilangin bio tulis langsng sambung apk threads malu cuy acc first hilang,negatif
pakai the have option select the people followed,netral
fitur fitur media post scroll lihat postingan thanks,positif
komen pakai gif komen langsung open camera timeline beranta threads teman follow tindih threads akun ceklis biru pisah timeline thread teman follow thread fitur,negatif
gila data privasi ambil banget,negatif
bug optimal sistem,negatif
lencana bio muncul,negatif
tolong adakan fitur edit tweet,positif
pilih hapus akun,negatif
status balas threads auto tolong,negatif
tambah fitur tagar,negatif
muncul following fitur,negatif
username tulis profil angka,netral
spesial api webhook mending twitter,positif
saing berat twitter bagus twitter langsung hubung instagram akun,negatif
akun utama retas aplikasi otomatis logout,negatif
fitur notif follower lihatin foll notif susah follback,negatif
bagus aplikasi threads twitter batasin kayak aplikasi kencan twitter,negatif
tapa akun instagram log out suruh log ulang,netral
moga bisnis,positif
lencana instagram pencet sembunyi profil,negatif
data valid min centang biru,negatif
enak simple banget,positif
iphone gal bikin thread mulu,positif
bug tambah postingan,negatif
aplikasi mati instagram facebook fiturnya,negatif
masuk tulis izin,negatif
akun instagram connect login aplikasi threads tulis penuh syarat butuh login,negatif
log,netral
